word,humiliation,sentence
what,1,"what. what. WHAT. what. what. oh ok, cool."
nice,1,"this one (lounge) this is NICE, for watching movies and playing smash. oh this is nice."
owl,1,*tv show commentary* wait so is that OWL a cat (yes it was)
love,1,i LOVE corn tea! like the korean kind right
tea,1,tea tea tea tea TEA tea
drinking,1,i plan on DRINKING a lot (of tea)
flip-flops,1,hold on just gonna wear my FLIP-FLOPS
i,1,I have that effect on people
nice,1,there are a lot of bathrooms in this building that's NICE
jesse,1,did you ever try singing jesse’s-girl to JESSE
hands-down,1,"corn tea is best tea, hands down "
no-clothes,2,"You know what would be very cool? If humans just had pockets on their bodies, so when you have no-clothes you can just carry things, that’d be so neat."
freaky,2,"Oh, I mean who are they to judge, you don’t know what FREAKY stuff they are into. You don’t watch porn right? Then you have nothing to feel guilty about, they should feel more ashamed."
god,2,*tv show commentary* oh my GOD move the fuck on
accumulated,2,*tv show commentary* are there just gonna be more and more ACCUMULATED cats through the show
loose,2,is it LOOSE leaf (tea) or is it- oh its a pack
tasting,2,i don’t like strong TASTING tea but corn tea is ok so i’ll just deal with it (using a huge sack of tea)
assholes,2,"*tv show commentary* they make the kid too unrealistically lovable, kids are ASSHOLES."
champ,2,"*tv show commentary* (the baby) takes it (rubbing alcohol) like a CHAMP, oh never mind. oh yeah still a champ."
perfect,2,"*tv show commentary* he just happens to have the PERFECT shade (of thread to fix his sweater), jesus."
not,2,i’m NOT even gonna friggin-
apocalypse-bunker,2,"“area of rescue assistance”, is this like the APOCALYPSE-BUNKER of your dorm?"
leaving,2,if it (board games) gets hard I’m LEAVING
8-hours,2,"it'd be really cool if i could like, talk in my sleep tonight. but i think i only do it a couple times a month, and i'm not about to go through like 8-hours of footage. nuh uh."
low-class,3,jello is kinda like a LOW-CLASS dessert. (“but they’re in buffets”). Yeah but always buffets you don’t go to a luxurious nice restaurant and they serve you jello
weird,3,I swear don’t be WEIRD. Don’t be cruel
yeah,3,What was i gonna do? What was i gonna do? What was I gonna do? Oh YEAH.
knees,3,*tv show commentary* japanese-people how can they sit on their KNEES for so long. can you do that?
fantastic,3,i flipped over my hoodie so i have this FANTASTIC thing now (to carry my voice recorder)
that,3,*tv show commentary* oh THAT fucks you up
televised-game,3,"they do have that TELEVISED-GAME with white and black tiles in korea, i don’t know if they have than anymore. they got rid of WoW."
me,3,low-key would be ME
bolten,3,*reading a valentines card* “do i like you? you can bet on it”. haha troy BOLTEN is an icon.
chopstick,3,i usually to i put rice down the drain. i just get the back of the CHOPSTICK and shove it down
solid,3,okay SOLID
ghost,3,"what if there is a GHOST in here? what if someone comes in while we're sleeping and i’m like “oh shit sohyun i recorded something, i think your room is haunted“."
murder,3,can you please throw me my phone right here? *she throws it* she didn’t MURDER me yay
zero,3,ZERO
